"Year","Count","Prediction","Lower95CI","Upper95CI"
1923,11648,11723.8313835009,10442.7746551872,13225.2799220931
1924,NA,12129.5806897414,9409.58487060312,15491.8889666217
1925,12428,12377.8200695271,10987.9154820818,13833.8594480578
1926,NA,12330.4869978208,9679.90006829755,15630.9569936084
1927,12488,12144.8037236079,10706.4441947854,13399.3280561942
1928,8958.99999999999,9242.9129007782,8351.59752254123,10420.9838273885
1929,9122,9085.53024413601,8177.77248079169,10089.8598567221
1930,8257.00000000001,8322.31881779984,7514.94906230041,9277.0808875715
1931,7696,7994.91016507367,7213.31049147456,9043.57750966159
1932,10624,10407.8123242581,9196.22178775407,11463.489299768
1933,11521,11273.5859696769,9987.33696380661,12407.3813501945
1934,10042,10169.9385024037,9178.6244864815,11369.2787593351
1935,10112,10129.079815471,9132.56810326105,11229.7351964082
1936,10281,10163.1709590578,9070.01277390817,11179.3360424062
1937,8793.99999999999,9087.73898177285,8241.2207500872,10276.5642740901
1938,10976,10718.9082617358,9374.66685636261,11812.7848674431
1939,NA,10295.8961270029,7592.48133061263,13773.8503289087
1940,NA,9824.58937070044,6825.46643828618,13816.1367078574
1941,NA,9361.35999927873,6481.3942216312,13155.3088290126
1942,NA,8831.73188183274,6487.46553968116,11897.9034652528
1943,8235,8313.62190015958,7452.90845306186,9373.68020836863
1944,NA,8457.41869693892,6421.13259346488,11147.1957638237
1945,NA,8523.15131078151,6390.67640005907,11205.5393167921
1946,8513,8493.87297659521,7539.3787301064,9462.91853945344
1947,NA,8303.69741541786,6428.72698737389,10427.6370320543
1948,7815,7989.17140202927,7248.31594587285,8993.55125383859
1949,9496,9295.65977572355,8178.58690935863,10264.9381771138
1950,NA,9020.38139468508,6591.03427476956,12025.8977485809
1951,NA,8683.45711814566,5702.95150442811,12787.7247679796
1952,NA,8350.90599679509,5291.20486361078,12594.1478063937
1953,NA,8005.63559388362,5064.68988578696,11956.9695518159
1954,NA,7668.02603249995,5109.45050990228,11078.755380849
1955,NA,7280.34943894897,5272.45859579326,9809.25110404422
1956,6963,6914.97708628154,6101.15187100961,7722.54262411433
1957,NA,6299.86552699735,4729.77329936844,8134.10475277482
1958,NA,5698.55427147823,4208.00918331912,7397.46881984881
1959,4884,5095.552030934,4598.36127940559,5903.88338429955
1960,NA,6292.27716387919,4930.61973658817,7972.49261025589
1961,8150,7710.79723163911,6601.31423474775,8494.16196449279
1962,5725,5863.65775032731,5294.78501938587,6589.00156639592
1963,NA,5539.1019318164,4138.62519059375,7258.62378772598
1964,NA,5206.74820722494,3883.42595244578,6794.52276857045
1965,4865,4846.63531456174,4311.83393021669,5410.34482072964
1966,NA,4331.51610514071,3368.57340408713,5480.68520313139
1967,3842,3841.32838793692,3452.25079592559,4291.92279970135
1968,3172,3338.8373477069,3027.15643183279,3856.11786866264
1969,4305,4317.32082885817,3898.37884910254,4801.32143025961
1970,5543,5552.6490073223,4973.5468449929,6141.9844276073
1971,7281,7188.05186257505,6418.2893159507,7931.77916731949
1972,8215.00000000001,8255.03790348936,7432.509571298,9160.08866332528
1973,9981,9863.20525764368,8837.47526902428,10839.0672942748
1974,10529,10621.1456248562,9563.9353266339,11779.9479154098
1975,12607,12368.7475963523,10926.4245582187,13600.9579115287
1976,12014,12082.3887717133,10852.3725306526,13456.0654288065
1977,NA,12397.0137265993,9694.68073968513,15743.1716159938
1978,12680,12509.6488905522,11148.1738391149,13851.1646265381
1979,10838,11157.6182962932,10076.4871329568,12614.2980847115
1980,NA,12601.2653696293,9447.57881853202,16347.2860078215
1981,NA,14151.2421073129,10556.2088386123,18580.123796619
1982,16019,15835.5983655605,13927.9944382033,17537.4332098799
1983,NA,16106.4450952619,11978.2361894596,21547.0133178901
1984,NA,16301.7592266042,11674.0373901339,22515.8292162263
1985,NA,16324.5751588543,12203.8091811359,21655.0296739193
1986,16286,16367.5162667391,14734.5221941544,18323.8211608538
1987,17007,17093.9227622709,15361.8959061701,18996.9465038648
1988,18913,18502.2643128921,16368.8325878256,20370.0960458257
1989,NA,16732.0077867046,13000.6827262551,21241.4439503991
1990,14829,14950.9582935653,13343.4028954734,16738.7693266368
1991,NA,14189.2111684051,10986.7266676148,17866.2435838867
1992,12859,13374.9334157396,12060.7447957253,15304.3375200567
1993,17585,17260.2844540582,15327.2204647414,19010.6247015633
1994,19045,18620.0109897336,16409.1235113991,20415.9080942573
1995,16791,16787.6079876998,15065.6921253349,18750.8716883811
1996,NA,15162.6660971253,11295.8616965759,19921.9521522366
1997,NA,13514.585780423,10147.7418871757,17826.2368967534
1998,11736,11938.2310168052,10766.040337169,13471.8509232425
1999,11742,11966.873341748,10813.9004093766,13370.2648473217
2000,14539,14174.7946541077,12548.5032186292,15537.2942361059
2001,13400,13293.6567454022,11837.1327750022,14653.5489108441
2002,11969,11831.0904895878,10588.4109816561,13035.1214714881
2003,9215.00000000001,9381.8617965446,8470.35990869748,10484.844916949
2004,8335,8526.86238388652,7692.51511672324,9529.34938269106
2005,9545,9297.68857400297,8215.59426035203,10229.2863930116
2006,NA,8014.0187716053,6274.2032107504,10123.9302381059
2007,6738,6825.28973254088,6115.20984502486,7641.46809572991
2008,6278.99999999999,6386.08871771246,5776.48605101663,7118.90504402147
2009,7109,6942.1496786108,6156.37944797413,7635.4874561413
2010,6070,6015.11397582935,5406.05677553403,6619.18213582686
2011,4635,4713.8747234701,4276.56998043475,5300.18430272601
2012,4174,4219.07839801447,3813.99005444521,4738.40596634053
2013,3915,4004.04890941423,3628.18966796136,4543.28477564912
2014,NA,4434.52423565615,3436.55126349933,5566.06970426152
2015,4844,4813.45847737414,4313.19959710648,5331.79407400169
2016,4912,4958.68411265335,4493.94188562778,5504.910637031
2017,5354,5473.16878641553,4965.00048209686,6141.63854367216
2018,7579,7254.61290846028,6311.14705756562,7998.73018062544
2019,NA,6692.46471140826,5198.28997049596,8477.09159098967
2020,6019,6076.04411289744,5407.13916964939,6844.45121731841
2021,NA,6047.18007808417,4546.13121604041,7895.82593111339
2022,NA,5961.13740459562,4459.63107820019,7811.09239831263
2023,5796,5819.6137190948,5152.86316130085,6550.72504685297
2024,NA,5913.44550575866,4086.76672427811,8120.12359710666
2025,NA,6035.91529090143,3673.43042624715,9461.87328318909
