winter,cougar,interpolated
1987.00,0.68,FALSE
1988.00,0.77,FALSE
1989.00,1.18,FALSE
1990.00,1.32,FALSE
1991.00,1.36,FALSE
1992.00,0.82,FALSE
1993.00,1.31,TRUE
1994.00,1.35,TRUE
1995.00,1.39,TRUE
1996.00,1.43,TRUE
1997.00,1.47,TRUE
1998.00,1.99,FALSE
1999.00,1.76,FALSE
2000.00,2.46,FALSE
2001.00,1.52,FALSE
2002.00,1.52,FALSE
2003.00,1.87,FALSE
2004.00,1.76,TRUE
2005.00,1.80,TRUE
2006.00,1.84,TRUE
2007.00,1.89,TRUE
2008.00,1.93,TRUE
2009.00,1.97,TRUE
2010.00,2.01,TRUE
2011.00,2.05,TRUE
2012.00,2.09,TRUE
2013.00,1.88,FALSE
2014.00,1.94,FALSE
2015.00,2.33,FALSE
2016.00,2.05,FALSE
2017.00,2.05,TRUE
2018.00,2.05,TRUE
2019.00,2.05,TRUE
2020.00,2.05,TRUE